trat	cult	meio	nraiz	alt	craiz	nfol	pfpa	pfpr	pspa	pspr	papr
t1	t	ms	3.75	4.38	14	2.25	1.57	0.64	0.09	0.03	3.18
t1	t	ms	3.75	5.63	13.75	2.25	1.76	0.74	0.1	0.04	2.79
t1	t	ms	5	6.63	12.38	3	1.78	0.89	0.11	0.04	2.75
t1	t	ms	3	4.75	10.5	2	1.52	0.53	0.09	0.02	4.25
t1	t	ms	5.25	4.88	11.13	2	1.56	0.67	0.09	0.03	3.09
t2	t	bds	4.25	4.75	15.25	2.25	1.84	0.87	0.11	0.04	2.87
t2	t	bds	2.25	3.75	12.63	1.75	1.29	0.6	0.08	0.03	3
t2	t	bds	4.25	4.38	18.25	1.5	1.86	0.92	0.11	0.04	2.47
t2	t	bds	1.25	4	20.63	2.25	1.55	0.84	0.1	0.04	2.53
t2	t	bds	3.5	4.13	12.5	2	1.37	0.5	0.08	0.02	3.44
t3	t	wpm	2.5	2.63	4.38	3.17	1.04	0.16	0.06	0.01	8
t3	t	wpm	1.75	2.5	3	2.42	0.88	0.08	0.06	0.01	11
t3	t	wpm	2.75	2.38	3	2.71	1.01	0.06	0.06	0	23
t3	t	wpm	1.75	3.13	2.75	2.54	1.32	0.1	0.08	0.01	15
t4	f	ms	6.75	6.5	15.5	3.5	3.34	2.03	0.16	0.07	2.42
t4	f	ms	2.75	6.63	18	3.25	2.63	1.45	0.14	0.05	2.75
t4	f	ms	5	5.63	15.13	3.5	2.17	1.58	0.11	0.05	2.15
t4	f	ms	3.75	5.25	16.88	3.5	2.4	1.3	0.13	0.04	3
t4	f	ms	1.75	3	10.25	2.5	0.94	0.75	0.06	0.02	2.88
t5	f	bds	6.25	5.38	19	3.5	3.24	1.38	0.15	0.06	2.5
t5	f	bds	7.25	5.63	14.5	3.75	3.13	1.69	0.16	0.08	2.07
t5	f	bds	6.25	5.63	20.63	3.25	2.85	1.23	0.15	0.06	2.46
t5	f	bds	6.75	4.88	15.13	3.25	2.19	1.31	0.12	0.06	1.84
t5	f	bds	3.75	4	15.75	2.25	1.93	0.96	0.08	0.05	1.83
t6	f	wpm	2.75	4	5.13	2.5	2.08	0.34	0.11	0.02	7.17
t6	f	wpm	5.25	4	4.5	3	2.41	0.44	0.12	0.02	6
t6	f	wpm	3.25	3.63	4.13	3.5	1.42	0.25	0.08	0.01	10
t6	f	wpm	4.5	3.25	3.88	3.25	1.71	0.36	0.1	0.02	6.33
t6	f	wpm	4.25	3.38	5.88	3	2.23	0.54	0.11	0.02	5.38
t7	c	ms	1	3.5	4.25	0.75	0.81	0.19	0.05	0.01	7
t7	c	ms	5.75	4.88	10.25	3	0.75	0.23	0.04	0.01	3.75
t7	c	ms	6	7.63	18.75	3.75	1.65	1.04	0.08	0.05	1.78
t7	c	ms	3.5	5	10.5	2.5	0.77	0.46	0.04	0.02	2.13
