subitem;variação;peso
1101002.Arroz;-0,41;0,5808
1101051.Feijão - mulatinho;17,05;0,0262
1101052.Feijão - preto;12,55;0,0824
1101053.Feijão - macassar (fradinho);9,45;0,0301
1101073.Feijão - carioca (rajado);12,93;0,2796
1101075.Feijão - branco;29,25;0,002
1102001.Farinha de arroz;-4,73;0,0131
1102006.Macarrão;1,13;0,2831
1102008.Fubá de milho;1,02;0,028
1102009.Amido de milho;0,06;0,0043
1102010.Flocos de milho;1,4;0,006
1102012.Farinha de trigo;0,7;0,0796
1102013.Farinha vitaminada;3,3;0,0083
1102023.Farinha de mandioca;2,57;0,1457
1102029.Massa semipreparada;0,89;0,0938
1103003.Batata-inglesa;21,11;0,2661
1103004.Inhame;3,81;0,0089
1103005.Mandioca (aipim);-1,34;0,0107
1103017.Abóbora;-1,01;0,0127
1103026.Pimentão;12,97;0,0061
1103027.Quiabo;-8,29;0,0034
1103028.Tomate;31,84;0,2356
1103043.Cebola;5,38;0,1477
1103044.Cenoura;4,07;0,062
1103046.Mandioquinha (batata-baroa);4,68;0,0101
1104003.Açúcar refinado;-1,18;0,1043
1104004.Açúcar cristal;-1;0,2672
1104018.Balas;0,94;0,0169
1104023.Chocolate em barra e bombom;-3,59;0,1264
1104032.Sorvete;0,51;0,1151
1104052.Chocolate e achocolatado em pó;-0,21;0,1513
1104060.Doce de frutas em pasta;-0,03;0,0044
1105001.Alface;4,77;0,1242
1105004.Coentro;0,34;0,0111
1105005.Couve;2,84;0,0204
1105006.Couve-flor;6,11;0,0051
1105010.Repolho;15,36;0,0352
1105012.Cheiro-verde;5,02;0,0428
1105013.Agrião;4,05;0,0002
1105019.Brócolis;6,74;0,0178
1106001.Banana-da-terra;-1,5;0,012
1106003.Abacaxi;-11,02;0,0353
1106004.Abacate;-11,58;0,0013
1106005.Banana - d'agua;13,13;0,0885
1106006.Banana - maçã;-2,67;0,0044
1106008.Banana - prata;4,86;0,182
1106011.Laranja - baía;-1,19;0,0101
1106015.Limão;-7,52;0,0018
1106017.Maçã;-6,29;0,1587
1106018.Mamão;18,52;0,0973
1106019.Manga;21,21;0,0123
1106020.Maracujá;16,7;0,0054
1106021.Melancia;-0,59;0,0621
1106023.Pera;-4,71;0,0229
1106027.Tangerina;7,02;0,1242
1106028.Uva;-2,17;0,0836
1106039.Laranja - pera;7,57;0,1708
1106051.Morango;5,31;0,011
1106084.Goiaba;-5,9;0,0024
1107009.Fígado;-0,55;0,0258
1107018.Carne de porco;0,56;0,2049
1107031.Carne de carneiro;0,18;0,0075
1107084.Contrafilé;-1,23;0,3559
1107085.Filé-mignon;1,83;0,0518
1107087.Chã de dentro;0,48;0,2705
1107088.Alcatra;-0,17;0,4248
1107089.Patinho;0,55;0,1926
1107090.Lagarto redondo;0,3;0,0148
1107091.Lagarto comum;2;0,0604
1107093.Músculo;1,88;0,1513
1107094.Pá;0,19;0,1257
1107095.Acém;1,18;0,2837
1107096.Peito;-0,71;0,0337
1107097.Capa de filé;-2,67;0,005
1107099.Costela;2,41;0,4097
1108002.Peixe - anchova;7,43;0,0035
1108003.Peixe - badejo;2,42;0,0009
1108004.Peixe - corvina;-0,17;0,026
1108005.Peixe - cavalinha;-2,59;0,0022
1108006.Peixe;-2,29;0,0506
1108009.Peixe - pescadinha;1,13;0,0016
1108011.Peixe - tainha;4,19;0,0006
1108012.Peixe - sardinha;-3,2;0,0164
1108013.Camarão;0,34;0,0528
1108015.Peixe - vermelho;-4,99;0,0027
1108019.Peixe - cavala;2,6;0,005
1108024.Peixe - pacu;-1,24;0,0005
1108028.Peixe - dourado;2,38;0,0007
1108029.Peixe - cação;1,1;0,0081
1108031.Peixe - merluza;-0,09;0,0261
1108032.Peixe - serra;4,59;0,0068
1108038.Peixe - pescada;3,07;0,0743
1108045.Caranguejo;3,44;0,0058
1108049.Peixe - castanha;6,35;0,0009
1108054.Peixe - piau;0,42;0,0006
1108057.Peixe - surubim;0,42;0,0004
1108067.Sururu;7,66;0,0003
1108072.Peixe - curimatã;9,74;0,0038
1108075.Peixe - salmão;0,73;0,0074
1108080.Peixe - tilápia;3,49;0,0139
1108083.Peixe - tucunaré;3,5;0,0042
1108087.Peixe - tambaqui;-3,01;0,0085
1108088.Peixe - dourada;0,03;0,0182
1108096.Peixe - peroá;4,69;0,0006
1108112.Peixe - pintado;0,81;0,0004
1108170.Peixe - mandi;0,42;0,0005
1109002.Presunto;1,99;0,1113
1109007.Salsicha;1,15;0,112
1109008.Linguiça;1,74;0,2856
1109010.Mortadela;1;0,0915
1109012.Salame;-0,96;0,0073
1109056.Carne-seca e de sol;0,09;0,1227
1109058.Carne de porco salgada e defumada;-1,19;0,0126
1109088.Hambúrger;-0,24;0,002
1110009.Frango inteiro;1,66;0,4419
1110010.Frango em pedaços;1,35;0,3693
1110044.Ovo de galinha;5,12;0,2138
1111004.Leite longa vida;0,52;0,9238
1111008.Leite condensado;-0,48;0,017
1111009.Leite em pó;-0,26;0,2325
1111011.Queijo;0,91;0,51
1111012.Creme de leite;-1,98;0,0026
1111019.Iogurte e bebidas lácteas;0,3;0,2299
1111031.Manteiga;0,5;0,0309
1112003.Biscoito;0,14;0,4491
1112015.Pão francês;0,48;1,1236
1112017.Pão doce;-0,07;0,1029
1112018.Pão de forma;0,85;0,1206
1112019.Bolo;1;0,1102
1112025.Pão de queijo;0,72;0,0213
1113013.Óleo de soja;1,09;0,2505
1113014.Azeite de oliva;-1,42;0,0273
1113040.Margarina;0,12;0,1515
1114001.Suco de frutas;0,08;0,1554
1114004.Açaí (emulsão);10,02;0,0373
1114022.Café moído;-0,69;0,3546
1114023.Café solúvel;0,11;0,0157
1114029.Chá;0,62;0,0413
1114083.Refrigerante e água mineral;-0,37;0,7492
1114084.Cerveja;-0,34;0,3868
1114085.Outras bebidas alcoólicas;-0,29;0,1159
1115004.Coco ralado;0,5;0,0071
1115006.Ervilha em conserva;-0,93;0,0055
1115016.Palmito em conserva;1,3;0,0137
1115017.Pepino em conserva;0,6;0,0047
1115039.Sardinha em conserva;0,16;0,0435
1115050.Salsicha em conserva;0,36;0,004
1115051.Carne em conserva;0,31;0,0061
1115053.Patê;0,11;0,0035
1115056.Sopa desidratada;-0,22;0,0112
1115057.Azeitona;0,34;0,0272
1115058.Milho-verde em conserva;-0,02;0,0171
1115075.Atum em conserva;-0,19;0,0179
1116001.Leite de coco;0,65;0,0042
1116005.Atomatado;-0,19;0,1518
1116010.Alho;6,15;0,0871
1116013.Sal;-0,59;0,0097
1116026.Fermento;0,26;0,008
1116033.Maionese;-0,63;0,046
1116041.Vinagre;1,49;0,0064
1116048.Caldo concentrado;-0,41;0,0266
1116071.Tempero misto;1,03;0,0649
1201001.Refeição;-0,25;5,0844
1201003.Lanche;1,02;2,1188
1201005.Café da manhã;0,45;0,1096
1201007.Refrigerante e água mineral;-0,31;0,3892
1201009.Cafezinho;0,79;0,0855
1201048.Cerveja;-0,36;0,7172
1201051.Outras bebidas alcoólicas;0,94;0,063
1201061.Doces;0,59;0,2736
2101001.Aluguel residencial;0,29;3,8108
2101002.Condomínio;0,09;1,7068
2101004.Taxa de água e esgoto;0,46;1,7541
2101012.Mudança;0,89;0,0184
2103005.Ferragens;1,13;0,048
2103008.Material de eletricidade;-0,64;0,0213
2103009.Material de pintura;-0,24;0,0298
2103012.Vidro;-1,17;0,0204
2103014.Tinta;0,52;0,2422
